,Unnamed: 0,bookID,title,authors,average_rating,isbn,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
50,50,80,La Place de la Concorde Suisse,John McPhee,3.92,374519323,fre,160,698,52,01-04-1994 00:00,Farrar  Straus and Giroux
51,51,81,Giving Good Weight,John McPhee,4.23,374516006,eng,288,542,36,01-04-1994 00:00,Farrar  Straus and Giroux
52,52,83,Rising from the Plains,John McPhee,4.23,374520658,eng,208,1341,98,01-11-1987 00:00,Farrar  Straus and Giroux
53,53,85,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,eng,81,1423,70,01-03-2002 00:00,Dramatists Play Service
54,54,86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,eng,249,2766,64,02-07-1991 00:00,Vintage
55,55,89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,eng,138,31,1,29-03-2006 00:00,Routledge
56,56,90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,en-US,128,62,4,14-03-2006 00:00,North Light Books
57,57,91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617,eng,192,860,53,01-09-2003 00:00,Chosen Books
58,58,92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,en-US,108,77,2,28-01-1997 00:00,Association for Supervision & Curriculum Development
59,59,93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,eng,352,153317,2257,15-11-2002 00:00,Kingfisher
60,60,94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,eng,192,55,5,15-11-2004 00:00,ASCD
61,61,96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,eng,192,34,6,28-04-2003 00:00,Sovereign World
62,62,98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,eng,832,11797,659,16-10-2003 00:00,Workman Publishing Company
63,63,99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414,eng,123,34,8,10-05-2004 00:00,One Hour Entertainment
64,64,100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,en-US,128,78,4,19-08-2004 00:00,North Light Books
65,65,103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,eng,423,2785,166,15-06-1987 00:00,Ace Books
66,66,105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670,eng,436,38778,568,01-07-1987 00:00,Ace Books
67,67,106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,eng,331,97494,2359,15-07-1987 00:00,Ace Books
68,68,107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,en-US,592,784,21,01-07-2004 00:00,Tor Books
69,69,109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980,eng,480,272,20,16-04-1984 00:00,Putnam
70,70,110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709,eng,426,4789,83,29-08-2006 00:00,Tor Science Fiction
71,71,117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008,eng,471,45388,644,15-08-1987 00:00,Ace Books
72,72,119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906,eng,192,26153,102,12-06-2002 00:00,Houghton Mifflin Harcourt
73,73,122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,eng,544,69167,4551,29-09-1996 00:00,Ballantine Books
74,74,123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,eng,291,45,13,13-09-2005 00:00,Delacorte Books for Young Readers
75,75,129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056,en-US,256,16,1,01-11-2004 00:00,Thomas Nelson
76,76,130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936,eng,205,174,16,19-05-2006 00:00,Wiley
77,77,131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,325001537,eng,240,10,0,07-02-2000 00:00,Heinemann Drama
78,78,132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,eng,336,76,9,03-05-2005 00:00,William Morrow Paperbacks
79,79,133,eBay for Dummies,Marsha Collier,3.5,470045299,eng,386,111,9,30-10-2006 00:00,Wiley
80,80,135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,72262788,eng,260,24,0,24-01-2006 00:00,McGraw-Hill
81,81,137,Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244,eng,384,55,4,17-09-2004 00:00,Wiley
82,82,138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,eng,260,9,0,06-06-2006 00:00,Wiley
83,83,139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,764559915,en-US,391,22,1,31-05-2004 00:00,Wiley
84,84,140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,en-US,864,17,3,25-04-2005 00:00,Wiley
85,85,141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,596523696,eng,873,166,4,29-07-2006 00:00,O'Reilly Media
86,86,142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492,eng,240,50,5,03-05-2005 00:00,Citadel
87,87,144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,eng,206,13,2,03-05-2005 00:00,Citadel
88,88,147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314,eng,514,64,1,01-01-2007 00:00,O'Reilly Media
89,89,151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,eng,838,16643,1851,31-05-2004 00:00,Penguin Classics
90,90,152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611,eng,960,109420,5696,05-11-2002 00:00,Signet
91,91,153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175,eng,837,2904,309,30-01-2003 00:00,Penguin Books
92,92,154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,822001837,eng,80,16,3,26-11-1965 00:00,Cliffs Notes
93,93,155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,eng,803,9564,726,01-07-2003 00:00,Barnes & Noble Classics
94,94,156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965,eng,752,474,72,23-11-2004 00:00,Dover Publications
95,95,157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,eng,803,303,48,26-08-2004 00:00,Barnes & Noble
96,96,159,Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270,eng,360,411,65,28-01-2006 00:00,Mira Books
97,97,160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,eng,128,1204,33,26-11-1987 00:00,Cambridge University Press
98,98,162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,140183957,eng,160,3429,279,03-07-1990 00:00,Penguin Books
99,99,163,The Untouchable,John Banville,3.95,679767479,eng,367,2163,216,30-06-1998 00:00,Vintage
100,100,164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,eng,256,613,31,01-02-1996 00:00,Buccaneer Books
101,101,165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,en-US,320,308,40,27-09-2005 00:00,Scribner
102,102,166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,932863051,eng,100,10,0,28-01-1995 00:00,Clarity Press
103,103,168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,742508803,eng,224,16,4,20-12-2000 00:00,Rowman & Littlefield Publishers
104,104,171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,eng,216,10,0,22-09-2003 00:00,Pearson
105,105,177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,1557344035,eng,48,17,0,28-09-1991 00:00,Teacher Created Resources
106,106,180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,380720442,eng,360,1035,23,01-10-1994 00:00,Harper Perennial
107,107,181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,821925326,eng,250,36,6,01-05-2002 00:00,EMC/Paradigm Publishing
108,108,182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,eng,32,15,0,01-01-2002 00:00,Teaching Resources
110,110,204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,751506435,eng,367,376,17,01-06-1994 00:00,Little  Brown Book Group
111,111,205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,eng,352,3086,237,03-01-2006 00:00,William Morrow
112,112,207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,743499344,en-US,320,352,44,01-11-2005 00:00,Atria Books
113,113,208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,eng,331,9852,633,07-03-2006 00:00,Tor Books
114,114,213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,eng,244,821,78,10-08-2004 00:00,Vintage Crime/Black Lizard
115,115,214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,eng,215,731,72,08-03-2005 00:00,Vintage Crime/Black Lizard
116,116,216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,eng,191,2897,178,10-08-2004 00:00,Vintage Crime/Black Lizard
117,117,230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,679732527,eng,144,98,11,03-10-1990 00:00,Vintage
118,118,231,I am Charlotte Simmons,Tom Wolfe,3.42,312424442,eng,738,20888,1688,30-08-2005 00:00,Picador USA
119,119,237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,806930772,eng,48,66,19,01-10-2001 00:00,Sterling
120,120,244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,140366601,eng,287,81,6,03-10-1996 00:00,Puffin
121,121,245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,811201120,eng,217,981,52,01-02-1964 00:00,New Directions Publishing
122,122,247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,eng,154,3381,141,13-01-1994 00:00,Grove Press
123,123,249,Tropic of Cancer,Henry Miller/JiªÌ_ NÌ_l,3.68,802131786,eng,318,53206,2376,06-01-1994 00:00,Grove Press
124,124,250,Tropic of Capricorn,Henry Miller,3.78,802151825,eng,348,14872,459,13-01-1994 00:00,Grove Press
125,125,251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,802151787,eng,316,3261,58,13-01-1994 00:00,Grove Press
126,126,252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,802151809,eng,506,7805,251,12-01-1994 00:00,Grove Press
127,127,253,The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,eng,292,2699,142,17-01-1970 00:00,New Directions
128,128,264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,141439637,eng,797,61640,1951,30-09-2003 00:00,Penguin Classics
129,129,269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,eng,635,392,41,16-01-2004 00:00,Barnes  Noble Classics
130,130,277,Writing,Marguerite Duras,3.75,1571290532,eng,91,778,44,06-05-1999 00:00,Brookline Books
131,131,278,The War,Marguerite Duras/Barbara Bray,3.85,1565842219,eng,192,963,65,01-08-1994 00:00,The New Press
132,132,280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,394743040,en-US,181,2057,128,12-03-1986 00:00,Pantheon
133,133,285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,eng,178,203,8,01-07-1999 00:00,One World (UK)
134,134,288,Kahlil Gibran: His Life and World,Jean Gibran/¯Â¯¬¯±¯¤ô  ¯¨ôãô_ôã ¯Â¯¬¯±¯¤ô /Kahlil Gibran,4.21,156656249X,eng,464,35,2,01-04-1998 00:00,Interlink Publishing Group
135,135,289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,eng,102,328,16,01-01-1998 00:00,Penguin Books
136,136,290,Jesus the Son of Man,Kahlil Gibran/¯Â¯¬¯±¯¤ô  ¯¨ôãô_ôã ¯Â¯¬¯±¯¤ô ,3.98,394431243,eng,216,1308,82,21-02-1995 00:00,Knopf
137,137,291,The Broken Wings,Kahlil Gibran/¯Â¯¬¯±¯¤ô  ¯¨ôãô_ôã ¯Â¯¬¯±¯¤ô /Anthony Rizcallah Ferris,3.92,806501901,eng,132,6432,517,03-03-2003 00:00,Citadel
138,138,292,Sand and Foam,Kahlil Gibran/¯Â¯¬¯±¯¤ô  ¯¨ôãô_ôã ¯Â¯¬¯±¯¤ô ,4.08,067943920X,eng,100,3015,217,14-06-2011 00:00,Knopf
139,139,295,Treasure Island,Robert Louis Stevenson,3.83,753453800,eng,311,318753,6734,15-09-2001 00:00,Kingfisher
140,140,296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,en-US,213,420,42,01-10-2004 00:00,Sterling Children's Books
141,141,297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,eng,245,5967,276,01-06-2005 00:00,Simon & Schuster
142,142,298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,689854684,eng,64,104,14,01-07-2003 00:00,Atheneum Books for Young Readers
143,143,299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,517221144,en-US,272,56,4,03-09-2002 00:00,Gramercy Books
144,144,302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,eng,232,91,16,31-01-2006 00:00,Abdo Publishing Company
145,145,313,100 Years of Lynchings,Ralph Ginzburg,4.61,933121180,eng,270,88,4,22-11-1996 00:00,Black Classic Press
147,147,330,On Beyond Zebra!,Dr. Seuss,4.04,394800842,eng,64,2815,164,12-09-1955 00:00,Random House Books for Young Readers
148,148,332,The Wedding Clause,Debbie Raleigh,3.6,821778250,eng,256,95,13,07-06-2005 00:00,Zebra
149,149,333,The Zebra Wall,Kevin Henkes,3.44,60733039,eng,147,217,24,15-02-2005 00:00,Greenwillow Books
150,150,337,El perfume: Historia de un asesino,Patrick SÌ_skind,4.02,8432216062,spa,239,4136,255,01-06-2002 00:00,Booket
151,151,348,The Door Into Summer,Robert A. Heinlein,4.01,345413997,eng,304,17232,649,17-06-1997 00:00,Del Rey
152,152,350,Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,eng,528,251872,6241,01-10-1991 00:00,Ace
153,153,354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,en-US,434,10293,193,01-06-1988 00:00,Ace Books
154,154,355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,en-US,439,15970,438,12-10-1985 00:00,Del Rey
155,155,356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,eng,256,6898,200,08-08-2006 00:00,Tor Books
156,156,357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,en-US,307,67803,1401,15-02-1991 00:00,Pocket Books
157,157,359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,345455290,eng,298,22091,746,26-04-2005 00:00,Del Rey
158,158,362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,eng,368,2623,49,27-12-2005 00:00,Del Rey
159,159,367,Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436,eng,256,885,84,27-10-1998 00:00,Ballantine Books
160,160,377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,1417622857,eng,336,5,0,01-07-2003 00:00,Turtleback Books
161,161,382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,573650969,eng,72,100,13,12-01-2011 00:00,Samuel French  Inc.
162,162,385,On Bullshit,Harry G. Frankfurt,3.57,691122946,eng,67,9358,995,30-01-2005 00:00,Princeton University Press
163,163,386,Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,eng,347,9318,907,12-09-2005 00:00,W. W. Norton & Company
164,164,394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,671867423,en-US,317,120,15,12-06-1993 00:00,Simon & Schuster
165,165,397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,395883970,eng,32,5239,76,02-02-1998 00:00,HMH Books for Young Readers
166,166,399,Underworld,Don DeLillo,3.92,684848155,eng,827,1505,175,09-07-1998 00:00,Scribner
167,167,400,Libra,Don DeLillo,3.99,140156046,eng,480,11857,564,01-05-1991 00:00,Penguin
168,168,403,Americana,Don DeLillo,3.43,140119485,eng,377,393,55,06-07-1989 00:00,Penguin Books
169,169,404,Running Dog,Don DeLillo,3.43,679722947,eng,256,1356,72,17-07-1989 00:00,Vintage Contemporaries
170,170,406,Cosmopolis,Don DeLillo,3.22,743244257,eng,224,460,41,06-04-2004 00:00,Scribner
171,171,407,Great Jones Street,Don DeLillo,3.48,140179178,eng,272,2492,145,01-01-1994 00:00,Penguin Books
172,172,408,The Names,Don DeLillo,3.64,679722955,eng,339,3100,212,17-07-1989 00:00,Vintage
173,173,409,Against the Day,Thomas Pynchon,4.13,159420120X,eng,1085,5296,587,21-11-2006 00:00,Penguin Press
174,174,410,V.,Thomas Pynchon,3.96,60930217,eng,547,1415,177,05-07-2005 00:00,Harper Perennial Modern Classics
175,175,411,The Crying of Lot 49,Thomas Pynchon,3.69,60931671,eng,152,2161,230,01-04-1999 00:00,Harper Perennial
176,176,412,Gravity's Rainbow,Thomas Pynchon,4.01,140283382,eng,784,762,213,01-01-2000 00:00,Penguin Books
177,177,413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,312423209,eng,773,8086,602,03-01-2004 00:00,Picador USA
178,178,414,Vineland,Thomas Pynchon,3.69,141180633,en-US,385,702,69,01-09-1997 00:00,Penguin Classics
179,179,415,Gravity's Rainbow,Thomas Pynchon,4.01,143039946,eng,776,29764,2164,31-10-2006 00:00,Penguin Books
180,180,416,Slow Learner: Early Stories,Thomas Pynchon,3.5,316724432,eng,193,334,34,30-04-1985 00:00,Back Bay Books
181,181,418,Been Down So Long It Looks Like Up To Me,Richard FariÌ±a/Thomas Pynchon,3.8,140189300,eng,352,2473,220,29-08-1996 00:00,Penguin Classics
182,182,420,The Year of Magical Thinking,Joan Didion,3.89,140004314X,en-US,227,2656,336,04-10-2005 00:00,Knopf Publishing Group
183,183,421,The White Album,Joan Didion,4.17,374522219,eng,222,11889,738,01-10-1990 00:00,Farrar Straus Giroux
